,1,1l,1r,1s,2,2l,2r,2s,3,3l,3r,3s,4,4l,4r,4s,id,1_2,1_3,1_4,2_1,2_3,2_4,3_1,3_2,3_4,4_1,4_2,4_3,real_0,real_1,real_2,real_3,wait0,travel0,stop0,timeloss0,speed0,wait1,travel1,stop1,timeloss1,speed1,wait2,travel2,stop2,timeloss2,speed2,wait3,travel3,stop3,timeloss3,speed3,wait4,travel4,stop4,timeloss4,speed4,time,performance measure
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,308,1291,421,96,225,836,405,73,96,90,502,267,15.0,30.0,15.0,30.0,79.92435808466342,144.7494795281055,1.5281054823039555,88.4012630117974,6.390290567512061,88.12909836065573,154.04303278688525,1.6707650273224044,86.8495423497267,6.49126155119303,85.60645604395604,151.71978021978023,1.5803571428571428,88.76529532967041,6.424315868340638,77.49928774928775,142.29985754985756,1.5883190883190883,87.40471509971503,6.292957975288369,79.7712100139082,145.46036161335186,1.6404728789986092,82.90816411682893,6.435356759044383,4.2499425411224365,83.58613689683912
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,308,1291,421,96,225,836,405,73,96,90,502,267,16.0,30.0,15.0,30.0,76.76923076923077,141.0900900900901,1.534996534996535,85.46943173943163,6.394488429546469,85.7106529209622,150.94089347079037,1.5450171821305843,83.59639175257728,6.530691456406258,82.13489332415692,147.98072952512044,1.579490708878183,87.8299242945629,6.395965747416298,77.08604483007954,141.60014461315978,1.5169920462762112,86.81934924078095,6.327686287028881,75.57102869139258,140.0412876137159,1.4947515745276416,79.91638208537444,6.493984726775917,4.1095945835113525,80.04499576822766
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,308,1291,421,96,225,836,405,73,96,90,502,267,15.0,31.0,15.0,30.0,71.8225138121547,136.05732044198896,1.4578729281767955,84.78732044198885,6.4883690918285275,82.3244170096022,147.6721536351166,1.5432098765432098,85.28812071330586,6.576982512513986,78.51410874053683,144.32140399174122,1.547143840330351,87.59313833448044,6.475744192185938,69.5480631276901,134.0286944045911,1.4763271162123386,83.94369440459113,6.376486870151053,72.55849582172702,137.29944289693594,1.4811977715877438,81.15105849582176,6.456714938307455,4.360504388809204,75.12720786410084
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,308,1291,421,96,225,836,405,73,96,90,502,267,15.0,30.0,14.0,30.0,74.86971350613915,139.51773533424284,1.470668485675307,85.24595497953622,6.483333071084961,88.1313269493844,154.2264021887825,1.6025991792065664,87.7029958960329,6.364236560591177,85.28252032520325,150.9559620596206,1.64159891598916,89.71165311653114,6.251793790146161,75.86451612903225,141.62724014336916,1.6602150537634408,87.58525448028675,6.329755691357459,73.29772570640937,138.44383184011028,1.6016540317022743,80.41102687801533,6.499384783473697,4.063510179519653,81.09722651991817
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,308,1291,421,96,225,836,405,73,96,90,502,267,15.0,30.0,15.0,31.0,76.96805555555555,141.54375,1.5041666666666667,86.55601388888878,6.498873664067682,86.60331720801659,151.87975120939876,1.580511402902557,85.85472011057362,6.611931253550975,84.22576177285319,149.8303324099723,1.5962603878116344,88.3810249307479,6.478946586215325,80.81236363636364,146.3272727272727,1.6029090909090908,88.9079781818183,6.359144767863185,79.50352112676056,144.8330985915493,1.5253521126760563,82.90891549295792,6.488129101576828,4.233576059341431,82.00879024109062
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,308,1291,421,96,225,836,405,73,96,90,502,267,18.0,33.0,12.0,33.0,73.67733151803948,138.75289312457454,1.524846834581348,87.38335602450655,6.339215624488203,81.07926829268293,146.3529810298103,1.5210027100271002,85.4972899728998,6.166341391589588,82.95661016949153,148.95389830508475,1.5654237288135593,94.53120677966102,6.238031740866083,64.73169014084507,128.39718309859154,1.4338028169014085,79.57438732394368,6.434066810204238,68.63829787234043,133.3671928620453,1.455044612216884,80.16181194234731,6.489617146250956,4.142573356628418,75.83028425722316
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,308,1291,421,96,225,836,405,73,96,90,502,267,19.0,33.0,12.0,33.0,74.46211096075778,138.99526387009473,1.496617050067659,87.87479702300396,6.2208113909162925,80.17156527682843,144.85850991114148,1.4490772385509227,84.44902255639113,6.3016695432575345,79.98720538720539,145.19326599326598,1.5191919191919192,91.21327946127954,6.169165997480506,68.34504567814477,131.80744905130007,1.404075895994378,81.65803935347857,6.321861943873,71.37862068965518,135.92827586206897,1.4655172413793103,79.84178620689651,6.4061636190510445,4.138144254684448,76.5172079484175
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,308,1291,421,96,225,836,405,73,96,90,502,267,18.0,34.0,12.0,33.0,68.55991875423155,131.96411645226812,1.4441435341909274,84.84548408937044,6.34938344635078,72.89203778677462,137.67004048582996,1.5175438596491229,83.09154520917667,6.310171619851702,78.85016949152542,143.54169491525423,1.5633898305084746,92.6910169491524,6.178866029540776,61.718990889978976,124.15627189908899,1.368605466012614,77.22540294323755,6.3876316490497596,63.775885558583106,127.30108991825612,1.388283378746594,76.74621934604906,6.480438353390581,4.140630006790161,69.51366053777228
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,308,1291,421,96,225,836,405,73,96,90,502,267,18.0,33.0,13.0,33.0,74.91638341264446,139.2515295717199,1.4663494221617948,87.08473147518706,6.2515574629684485,81.19374575118967,145.40720598232494,1.4561522773623385,83.632154996601,6.328437362536036,83.8692098092643,149.90803814713897,1.5865122615803815,93.99380108991846,6.121168400528643,66.96074232690935,131.29193433261955,1.4932191291934334,81.4189293361885,6.350645532071034,69.16575342465754,133.4678082191781,1.3972602739726028,79.1385684931507,6.412062994361229,4.1874613761901855,76.93755974566551
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,308,1291,421,96,225,836,405,73,96,90,502,267,18.0,33.0,12.0,34.0,75.30101694915254,139.58033898305084,1.5186440677966102,88.50929491525422,6.251290395680326,79.17073170731707,143.58875338753387,1.497289972899729,83.39259485094861,6.292763526259589,86.04016337644656,151.49081007488087,1.6113002042205582,96.29223961878826,6.115288992758882,68.08410548823949,132.64861012116893,1.4818246614397719,82.69866001425515,6.373470283556141,72.51788170563961,137.0515818431912,1.4559834938101788,81.93396148555698,6.407648597492401,4.12504243850708,77.99109529047045
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,308,1291,421,96,225,836,405,73,96,90,502,267,18.0,34.0,11.0,32.0,66.00134952766531,129.04048582995952,1.398110661268556,82.16702429149795,6.5128354530328645,72.86041807147673,138.11328388401887,1.5805799055967633,83.86907619689819,6.223414328583946,76.14867617107943,141.61371350984385,1.562797012898846,90.38890020366603,6.260238328663443,54.35434173669468,114.86834733893558,1.2296918767507004,69.16508403361341,6.629849851923264,66.28698023176551,131.00340831629174,1.5630538513974097,80.58396728016365,6.514131361546032,3.953402280807495,66.64690912831081
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,308,1291,421,96,225,836,405,73,96,90,502,267,19.0,34.0,11.0,32.0,65.51440053583389,128.9578030810449,1.3837910247823175,81.65241125251167,6.451838969325082,74.14879356568365,138.4014745308311,1.5536193029490617,81.15228552278822,6.3065725950961715,74.04353650368385,139.06563965170798,1.5559276624246483,88.66306764902887,6.311756204875688,57.018118466898954,118.50034843205574,1.2466898954703833,72.03336585365852,6.597804147548243,66.70211315610089,130.94274028629857,1.4430811179277436,81.04576687116574,6.4701710169945335,4.015305519104004,66.89731532870823
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,308,1291,421,96,225,836,405,73,96,90,502,267,18.0,33.0,11.0,32.0,69.92135593220338,133.8928813559322,1.4996610169491524,85.59965423728806,6.380533789771594,75.3236092265943,140.16146540027137,1.4905020352781546,83.05249660786977,6.32066305136019,77.30129516019086,143.08043626448534,1.6952965235173825,90.35286298568512,6.349313309465757,63.60281690140845,127.3056338028169,1.4669014084507042,79.1983943661972,6.389540237813542,69.39195637355147,134.5521472392638,1.521472392638037,82.0580913428767,6.539567077003934,3.9687235355377197,71.83927788172389
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,308,1291,421,96,225,836,405,73,96,90,502,267,18.0,34.0,10.0,32.0,65.542201215395,128.12018906144496,1.4139095205941932,81.81716407832548,6.493319626370537,71.11148648648648,135.97770270270271,1.566891891891892,82.32041216216217,6.377037866576119,70.89897610921501,136.1815699658703,1.5699658703071673,87.75667576791801,6.472687159902249,59.619114546732256,121.2241742796908,1.320449754040759,75.2655446240337,6.497716906393957,65.56821282401091,129.4836289222374,1.4727148703956343,81.06103683492499,6.604920576376216,4.093757629394531,65.30608871515108
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,308,1291,421,96,225,836,405,73,96,90,502,267,18.0,34.0,11.0,33.0,68.06017579445572,131.1135902636917,1.394185260311021,83.66194726166317,6.4912698829091955,74.80417227456259,139.24831763122475,1.4932705248990579,84.37808882907133,6.211975031620316,76.85801630434783,141.98233695652175,1.546875,91.5216983695652,6.304233592128265,60.47372109320252,122.41065171688858,1.3195515066573231,75.55272599859846,6.5313726677959405,67.49454297407912,132.28103683492498,1.5177353342428377,81.6362210095499,6.469060260129662,4.047111988067627,69.39136381148359
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,308,1291,421,96,225,836,405,73,96,90,502,267,18.0,35.0,10.0,31.0,60.78936742934051,121.65679676985195,1.2833109017496636,76.043862718708,6.65197875331276,63.50637156270959,127.86250838363515,1.5318578135479544,79.60132126089869,6.36731893753476,65.71196754563894,128.6632860040568,1.4279918864097363,82.54079107505083,6.550787333458739,49.57004160887656,108.23578363384189,1.1054091539528432,62.657212205270454,6.788261259395482,57.985175202156334,119.97843665768194,1.3153638814016173,74.14301212938005,6.648853744190225,4.046806335449219,55.26496223402961
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,308,1291,421,96,225,836,405,73,96,90,502,267,17.0,35.0,10.0,31.0,62.53162853297443,124.00269179004037,1.2987886944818303,78.37501345895018,6.630237057355315,60.237524950099804,123.17431803060546,1.4278110445775116,76.89025282767801,6.468815352386022,64.08032128514056,126.3045515394913,1.3614457831325302,80.53372824631879,6.583523082224958,48.65991620111732,106.95949720670392,1.0782122905027933,61.362912011173144,6.937612606269361,56.69913275517011,117.60173448965978,1.2635090060040026,71.93523682454965,6.823452080839288,3.9997472763061523,52.721278253150274
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,308,1291,421,96,225,836,405,73,96,90,502,267,18.0,34.0,10.0,31.0,62.903247631935045,125.28890392422193,1.39851150202977,79.42258457374828,6.537700364638086,64.79397993311036,129.36588628762541,1.4836120401337793,80.49329765886311,6.375936551773354,66.37089201877934,129.92421193829645,1.4621059691482228,83.34281019450034,6.473988151522911,54.66736990154712,114.80098452883263,1.2355836849507735,69.18749648382564,6.654351897858743,62.922402159244264,126.76248313090419,1.465587044534413,79.4244534412956,6.678684662633649,3.7970030307769775,59.78717070512264
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,308,1291,421,96,225,836,405,73,96,90,502,267,18.0,35.0,11.0,31.0,59.58862876254181,120.83946488294315,1.2762541806020067,75.21839464882939,6.69204802139036,63.91438127090301,128.05016722408027,1.4682274247491638,80.34632775919731,6.236059224101337,69.34224598930481,133.2058823529412,1.4532085561497325,85.71338903743316,6.322337449616507,51.28372739916551,110.76495132127955,1.1495132127955494,65.16613351877601,6.718310037074999,57.72233400402415,120.18108651911469,1.306505700871898,73.52140845070424,6.62887197477907,4.0472283363342285,57.41305704614723
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,308,1291,421,96,225,836,405,73,96,90,502,267,18.0,35.0,10.0,30.0,59.4656796769852,120.33041722745625,1.2792732166890983,74.68347240915195,6.654429841631327,57.564238410596026,120.06291390728477,1.3827814569536423,73.93685430463572,6.50035157067043,63.5878828229028,126.20106524633822,1.3821571238348869,80.30085219707065,6.500263351790825,46.815771109560366,105.1681786461968,1.0865317515701325,59.56388695045354,6.919127629688051,55.657314629258515,116.374749498998,1.2498329993319974,70.66566466265877,6.886516930603434,3.843571186065674,50.70608625648667
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,308,1291,421,96,225,836,405,73,96,90,502,267,19.0,35.0,10.0,30.0,57.85685752330227,118.35419440745673,1.2343541944074568,72.75308255659117,6.684616188601584,58.265116279069765,120.9906976744186,1.344186046511628,74.87003986710965,6.408006247388928,64.71648793565684,127.72386058981233,1.4537533512064342,81.69585790884719,6.510761786158658,49.92723492723493,108.5973665973666,1.1185031185031185,63.021268191268184,6.738494900785781,58.711486486486486,120.50878378378378,1.2662162162162163,74.50798648648662,6.695306446050307,3.984229564666748,53.160609472597095
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,308,1291,421,96,225,836,405,73,96,90,502,267,18.0,34.0,10.0,30.0,61.877883310719135,123.91587516960651,1.364314789687924,77.9702238805971,6.577552717367462,61.75922199865862,125.37625754527163,1.4694835680751173,77.15676727028843,6.483675961858457,67.9071186440678,131.90305084745762,1.4291525423728813,84.61340338983044,6.579701824762665,51.060881735479356,110.58642407277817,1.1567529741077676,64.9876766969909,6.724502671535028,59.54341926729987,122.04884667571234,1.4050203527815468,75.67058344640425,6.581882457765002,4.1247570514678955,56.871459595588036
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,308,1291,421,96,225,836,405,73,96,90,502,267,18.0,35.0,9.0,30.0,56.42702702702703,116.62702702702703,1.212162162162162,70.98908783783783,6.763858586470765,56.315123251165886,118.33644237175217,1.3384410393071287,72.5658627581613,6.602619095405887,58.87801608579088,119.74664879356568,1.2741286863270778,73.99989276139414,6.813289537768731,46.076117318435756,104.12011173184358,1.0614525139664805,58.484001396648125,7.027338424611839,58.03903095558547,119.3849259757739,1.284656796769852,73.69065275908486,6.691540019689437,4.109325885772705,47.84573985209916
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,308,1291,421,96,225,836,405,73,96,90,502,267,18.0,35.0,10.0,29.0,55.667113194909575,115.80375083724046,1.2083054253181513,70.17472203616862,6.758734307019372,56.1005291005291,118.18584656084656,1.3247354497354498,72.37279761904763,6.584303771162204,58.37150466045273,119.1757656458056,1.2583222370173102,73.55108521970712,6.759058416565699,44.4087439278279,102.16308119361554,1.0360860513532268,56.57917418459403,7.062550576891613,56.710827168796236,117.55077336919973,1.250168123739072,71.79170813718902,6.67748159681322,3.859389543533325,46.891586184437365
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,308,1291,421,96,225,836,405,73,96,90,502,267,19.0,35.0,10.0,29.0,56.84856571047365,117.73448965977319,1.2581721147431622,72.09334222815198,6.6662722792611335,57.67131474103586,120.27490039840637,1.3818061088977425,74.25093625498,6.442179220817543,61.582388258839224,123.48298865910607,1.3689126084056038,77.63442294863245,6.5381094672763655,49.74930555555556,108.61875,1.1215277777777777,63.02425694444441,6.743915466022738,55.776,116.72066666666667,1.252,71.02659999999993,6.8059391392998085,4.000012159347534,50.973527931435285
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,308,1291,421,96,225,836,405,73,96,90,502,267,18.0,34.0,10.0,29.0,58.26936026936027,119.0080808080808,1.2558922558922558,73.36612794612802,6.650512081508228,57.655540720961284,121.02002670226969,1.3958611481975969,74.30795060080109,6.593774572513508,63.50439486139283,126.52400270453009,1.4388100067613252,80.63947261663286,6.643597938076604,46.75557103064067,105.19707520891365,1.0940111420612812,59.610898328690794,6.925003899968889,58.298031228784794,119.95315682281058,1.296673455532926,74.10352342158853,6.589103440344916,3.9999337196350098,51.53648458449668
