,1,1l,1r,1s,2,2l,2r,2s,3,3l,3r,3s,4,4l,4r,4s,id,1_2,1_3,1_4,2_1,2_3,2_4,3_1,3_2,3_4,4_1,4_2,4_3,real_0,real_1,real_2,real_3,wait0,travel0,stop0,timeloss0,speed0,wait1,travel1,stop1,timeloss1,speed1,wait2,travel2,stop2,timeloss2,speed2,wait3,travel3,stop3,timeloss3,speed3,wait4,travel4,stop4,timeloss4,speed4,time,performance measure
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,225,409,158,158,82,468,551,132,113,90,537,105,23,44,17,98,97.9916054564533,157.31794333683106,0.9926547743966422,101.18467995802726,6.639601095462683,86.7603734439834,144.0591286307054,0.8807053941908713,88.21212655601657,6.8582984655766115,88.59141981613892,145.7517875383044,0.8947906026557712,87.69505617977511,6.774961704097887,76.41463414634147,133.01552106430154,0.8481152993348116,82.48500000000007,7.006956782784235,69.95540138751238,126.60852329038651,0.8404360753221011,77.53411298315157,6.9402445508848425,3.3906350135803223,83.94268685008589
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,225,409,158,158,82,468,551,132,113,90,537,105,13,29,77,33,129.23636363636365,190.69204545454545,1.3397727272727273,125.86797727272725,6.142843547852347,118.6410835214447,179.42099322799098,1.2381489841986455,115.11339729119648,6.1914496179560485,116.78941684665227,176.87149028077755,1.2084233261339092,107.73267818574531,6.165585729119339,112.82656826568265,172.4268142681427,1.1734317343173433,112.48115621156212,6.280202876850074,106.77114967462039,166.53796095444685,1.1648590021691974,109.037114967462,6.168532254866181,3.6874794960021973,116.85291638895274
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,225,409,158,158,82,468,551,132,113,90,537,105,18,43,75,42,116.68366285119667,177.70343392299688,1.1956295525494276,119.50343392299683,5.802781186469675,111.29713114754098,171.87602459016392,1.1168032786885247,112.15093237704913,6.045875281172088,102.31150793650794,161.5406746031746,1.0238095238095237,101.55150793650793,6.019130343051299,100.19553072625699,158.67486033519552,1.0335195530726258,107.05889385474875,6.134402445267515,97.30234833659492,156.34735812133073,1.0185909980430528,103.36636986301376,5.9496576614015035,3.7500667572021484,105.55803619961951
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,225,409,158,158,82,468,551,132,113,90,537,105,9,82,7,29,68.48608137044968,125.06531049250535,0.9967880085653105,78.89702355460396,7.901277655873223,60.390063424947144,115.91437632135306,0.912262156448203,70.16503171247356,7.936024050593536,52.42976066597294,107.79916753381895,0.8709677419354839,62.23834547346521,7.886271443292032,54.18034682080925,109.70982658959538,0.8913294797687862,64.12100578034686,7.9898855826728346,60.29603255340793,116.04577822990845,0.9267548321464903,70.43474059003049,7.9049228909308225,3.31241774559021,59.15645696711739
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,225,409,158,158,82,468,551,132,113,90,537,105,13,33,14,87,107.38784530386741,167.36574585635358,1.2243093922651933,106.16072928176786,7.133301620566349,97.31596091205212,156.51465798045604,1.0890336590662324,98.18697068403918,7.22560374805588,97.84148936170213,156.7808510638298,1.0202127659574467,92.77386170212776,7.434162670169649,91.71700356718192,150.55766944114148,1.0868014268727706,95.69695600475625,7.2631417544550665,83.37682672233821,141.76931106471815,1.0260960334029228,89.35148225469744,7.2786147036022655,3.5156495571136475,95.52782517342835
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,225,409,158,158,82,468,551,132,113,90,537,105,43,49,60,28,85.83900928792569,143.7905056759546,0.9401444788441693,94.14233230134161,5.847827832616303,84.12359550561797,142.41062308478038,0.9673135852911133,91.73693564862113,5.916256366731569,90.80357142857143,149.56448412698413,1.0208333333333333,100.43552579365084,5.542865681843048,70.87895310796074,127.98691384950926,0.8800436205016358,81.36892039258453,6.302756931213805,78.44731610337972,135.87475149105367,0.9463220675944334,89.28774353876729,5.83503354231491,3.6561896800994873,82.01848908669112
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,225,409,158,158,82,468,551,132,113,90,537,105,9,68,46,44,73.06702127659574,129.6659574468085,0.9425531914893617,83.68138297872335,7.160238388884266,64.16179540709813,120.20668058455115,0.8883089770354906,74.27367432150325,7.071543433362279,61.6417604912999,117.3439099283521,0.8638689866939611,71.78908904810643,7.1853442730172965,67.06108597285068,122.64819004524887,0.8642533936651584,77.05727375565614,7.2367188272855545,64.6582406471183,120.62891809908999,0.8816986855409504,75.04328614762397,7.295217228247341,3.625040054321289,66.11798075899256
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,225,409,158,158,82,468,551,132,113,90,537,105,5,32,6,96,114.02906976744185,173.33837209302325,1.1709302325581394,109.06497674418607,7.632230308903084,106.897583429229,166.30264672036824,1.1703107019562715,106.14692750287685,7.559527746660591,112.32329988851728,172.57413600891863,1.2307692307692308,106.87361204013375,7.674356788448407,99.50374064837905,158.46259351620947,1.1359102244389028,103.04799251870321,7.525862991202664,98.69900771775083,157.57662624035282,1.1642778390297686,103.43101433296597,7.609182952387633,3.8124375343322754,106.2905402902636
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,225,409,158,158,82,468,551,132,113,90,537,105,20,68,55,37,78.1232741617357,135.0749506903353,0.9398422090729783,89.42637080867868,6.508643082119777,63.22696411251212,118.98836081474296,0.8409311348205626,73.40159068865194,6.792010503183597,64.66537717601547,120.51353965183752,0.8568665377176016,74.89763056092843,6.5679890922345185,61.266877637130804,116.62025316455696,0.8227848101265823,71.02277426160332,6.90331476072324,63.75306314797361,119.60885956644675,0.8539114043355325,74.01048067860506,6.456991316171436,3.609344482421875,66.20711124707353
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,225,409,158,158,82,468,551,132,113,90,537,105,7,55,14,94,75.11361200428725,131.86495176848874,0.9239013933547695,86.09601286173651,7.375803045992096,62.53340402969247,117.8897136797455,0.83881230116649,72.35149522799581,7.442844835911371,62.68603465851172,118.13965341488277,0.8389398572884812,72.46634046890922,7.623555329720726,65.78235967926689,121.09736540664376,0.8556701030927835,75.48703321878587,7.59790827269306,61.35146022155086,116.87512588116817,0.8429003021148036,71.24339375629415,7.6986264008447325,3.687493324279785,65.49337411866183
