,real_0,real_1,real_2,real_3,best_real_0,best_real_1,best_real_2,best_real_3,wait0,travel0,stop0,timeloss0,speed0,throughput0,to_be_throughput0,wait1,travel1,stop1,timeloss1,speed1,throughput1,to_be_throughput1,wait2,travel2,stop2,timeloss2,speed2,throughput2,to_be_throughput2,wait3,travel3,stop3,timeloss3,speed3,throughput3,to_be_throughput3,wait4,travel4,stop4,timeloss4,speed4,throughput4,to_be_throughput4,time,iteration_time,performance measure,veh_generated,scenario,phaseSeq,algorithm,iteration_type,step
0,15,30,15,30,15.0,30.0,15.0,30.0,23.069686411149824,75.8205574912892,0.710801393728223,30.62256097560976,8.67871569652252,574,574,21.394594594594594,73.74594594594595,0.654054054054054,28.541135135135157,8.951865753884487,555,555,23.222764227642276,75.75447154471544,0.6861788617886179,30.558552845528418,8.716817872153367,615,615,21.04022988505747,73.07471264367815,0.6475095785440613,27.977509578544048,9.02168863680436,522,522,22.01038062283737,74.5121107266436,0.7006920415224913,29.295916955017322,8.808827839950846,578,578,2.1876986026763916,0.0,-13.774271928176692,565.0,3,0,Tabu,iteration,0
0,15,30,15,30,15.0,30.0,15.0,30.0,23.069686411149824,75.8205574912892,0.710801393728223,30.62256097560976,8.67871569652252,574,574,21.394594594594594,73.74594594594595,0.654054054054054,28.541135135135157,8.951865753884487,555,555,23.222764227642276,75.75447154471544,0.6861788617886179,30.558552845528418,8.716817872153367,615,615,21.04022988505747,73.07471264367815,0.6475095785440613,27.977509578544048,9.02168863680436,522,522,22.01038062283737,74.5121107266436,0.7006920415224913,29.295916955017322,8.808827839950846,578,578,2.1876986026763916,8.562047719955444,-13.774271928176692,565.0,3,0,Tabu,iteration,1
0,13,30,15,30,15.0,30.0,15.0,30.0,21.344827586206897,73.78965517241379,0.6896551724137931,28.587120689655183,8.906151468374635,580,580,22.752727272727274,75.3709090909091,0.6909090909090909,30.176709090909114,8.739925883729892,550,550,22.760195758564436,75.51876019575856,0.7128874388254486,30.261810766721048,8.70004970056952,613,613,23.154580152671755,75.70610687022901,0.7175572519083969,30.62931297709924,8.655378240547197,524,524,20.68941979522184,73.06996587030717,0.6723549488054608,27.870819112627977,8.991502097130736,586,586,2.1402974128723145,12.937137842178345,-13.294935340780436,565.0,3,0,Tabu,iteration,2
0,13,31,15,30,15.0,30.0,15.0,30.0,23.15146299483649,75.86230636833047,0.7108433734939759,30.648898450946653,8.68517535940359,581,581,23.1268115942029,75.71376811594203,0.6829710144927537,30.533949275362303,8.734763874379682,552,552,22.790243902439023,75.40325203252033,0.6796747967479675,30.201495934959365,8.739885579795997,615,615,21.633079847908746,73.81558935361217,0.6673003802281369,28.729258555133068,8.901611133484975,526,526,20.436860068259385,72.90102389078498,0.6860068259385665,27.67921501706482,8.97637843339284,586,586,2.109402894973755,21.452616691589355,-13.336440808676173,565.0,3,0,Tabu,iteration,3
0,13,33,15,30,13.0,33.0,15.0,30.0,22.522569444444443,75.03993055555556,0.6892361111111112,29.830399305555545,8.772226609322985,576,576,20.95045871559633,73.13761467889908,0.6458715596330276,28.005321100917424,9.02834955403036,545,545,21.694352159468437,74.08803986710963,0.6561461794019934,28.886146179401997,8.901797689302581,602,602,20.534971644612476,72.72589792060492,0.6408317580340265,27.616105860113418,9.060279345709294,529,529,22.691099476439792,75.13787085514834,0.68760907504363,29.939808027923235,8.77491040779955,573,573,2.1715505123138428,30.14008927345276,-15.049256436866035,565.0,3,0,Tabu,iteration,4
0,12,33,15,30,12.0,33.0,15.0,30.0,22.730434782608697,75.37391304347825,0.6991304347826087,30.17109565217392,8.74658014606091,575,575,20.320720720720722,72.54954954954955,0.6378378378378379,27.345369369369376,9.09906140494563,555,555,22.428571428571427,74.8051948051948,0.6785714285714286,29.63032467532467,8.826106521511667,616,616,20.532567049808428,72.48275862068965,0.6494252873563219,27.35965517241377,9.101044320514692,522,522,20.913793103448278,73.34482758620689,0.6879310344827586,28.147862068965512,8.937463387117456,580,580,2.1407723426818848,38.8901002407074,-15.709262839276878,565.0,3,0,Tabu,iteration,5
0,10,33,15,30,12.0,33.0,15.0,30.0,20.796901893287437,73.17039586919105,0.6712564543889845,27.97509466437176,9.000551773166746,581,581,21.920145190562614,74.32304900181488,0.6715063520871143,29.144065335753165,8.87289719144891,551,551,23.30327868852459,75.97868852459017,0.7147540983606557,30.745393442623,8.728861047738091,610,610,22.304597701149426,74.73180076628353,0.7049808429118773,29.652375478927212,8.763628196881218,522,522,19.81911262798635,71.98293515358361,0.6518771331058021,26.792252559726997,9.123644926743937,586,586,2.18746018409729,47.48383331298828,-14.941792408865158,565.0,3,0,Tabu,iteration,6
0,10,33,15,28,10.0,33.0,15.0,28.0,20.68695652173913,72.90782608695652,0.6695652173913044,27.691756521739123,9.023651504239066,575,575,20.618348623853212,73.10825688073395,0.6990825688073394,27.965944954128453,8.914381284289222,545,545,21.956594323873123,74.58931552587646,0.7011686143572621,29.38245409015026,8.833785633917376,599,599,19.614503816793892,71.9618320610687,0.6851145038167938,26.826240458015256,9.04148598469559,524,524,20.98090277777778,73.19965277777777,0.6701388888888888,28.00072916666668,8.975146844414803,576,576,1.671921730041504,55.45257616043091,-16.423525836629434,565.0,3,0,Tabu,iteration,7
0,9,33,15,28,9.0,33.0,15.0,28.0,20.11774744027304,72.33617747440273,0.658703071672355,27.115819112628017,9.10450327267553,586,586,18.8673835125448,71.19354838709677,0.6594982078853047,26.019820788530478,9.126517434127136,558,558,21.640194489465156,74.26904376012966,0.7017828200972447,29.080599675850873,8.880255576453287,617,617,19.571969696969695,71.97537878787878,0.6837121212121212,26.881458333333367,9.072043793775988,528,528,21.436426116838486,73.79896907216495,0.6786941580756014,28.613419243986232,8.893040943446762,582,582,1.687464714050293,60.79625129699707,-17.438098544622825,565.0,3,0,Tabu,iteration,8
0,9,33,15,27,9.0,33.0,15.0,27.0,20.34246575342466,72.6027397260274,0.6592465753424658,27.411849315068476,9.048043520651563,584,584,16.790697674418606,68.88372093023256,0.631484794275492,23.713327370304135,9.395181132837232,559,559,20.16990291262136,72.69417475728156,0.6828478964401294,27.493592233009718,9.035217962759427,618,618,18.5532319391635,70.60646387832699,0.6273764258555133,25.51971482889737,9.30094782745373,526,526,20.23458904109589,72.61301369863014,0.678082191780822,27.422363013698632,8.984431123238222,584,584,2.0780670642852783,70.56202340126038,-20.047620535780617,565.0,3,0,Tabu,iteration,9
