,1,1l,1r,1s,2,2l,2r,2s,3,3l,3r,3s,4,4l,4r,4s,id,1_2,1_3,1_4,2_1,2_3,2_4,3_1,3_2,3_4,4_1,4_2,4_3,real_0,real_1,real_2,real_3,wait0,travel0,stop0,timeloss0,speed0,wait1,travel1,stop1,timeloss1,speed1,wait2,travel2,stop2,timeloss2,speed2,wait3,travel3,stop3,timeloss3,speed3,wait4,travel4,stop4,timeloss4,speed4,time,performance measure
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,298,376,131,252,139,500,1027,236,156,199,831,90,42.0,42.0,42.0,42.0,120.65425101214575,179.50445344129554,0.9562753036437247,85.44256680161959,6.1855467067816985,122.26162790697674,181.24501661129568,0.9759136212624585,86.53521594684389,6.150976117576425,123.73988897700238,182.80174464710547,0.9825535289452815,86.41439333862031,6.114537096406701,124.22231686541738,182.9199318568995,0.9812606473594548,89.46969335604778,6.180945265955831,125.78473895582329,185.25863453815262,1.0433734939759036,90.091453815261,5.996199361624126,4.374606609344482,123.33256474347311
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,298,376,131,252,139,500,1027,236,156,199,831,90,43.0,42.0,42.0,41.0,120.73176661264182,179.87601296596435,0.9854132901134521,87.41576985413296,6.09047974650514,124.99581239530988,184.05276381909547,1.0075376884422111,88.54478224455619,6.047334431385616,125.37599364069952,184.71621621621622,1.0492845786963434,88.15411764705878,6.0727283591485,122.2,180.8153846153846,0.976068376068376,87.39409401709392,6.210914284605476,125.85425101214575,185.0064777327935,1.0275303643724696,89.6017408906882,5.986432301416874,4.187875747680664,123.83156473215938
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,298,376,131,252,139,500,1027,236,156,199,831,90,42.0,43.0,42.0,41.0,122.41956345998383,181.1552142279709,0.973322554567502,87.66335489086504,6.066491687184507,128.71321070234114,187.64214046822744,1.0167224080267558,91.15702341137138,5.9219872051591524,125.56906077348066,184.66535122336228,0.9960536700868192,86.80445935280183,6.043199766370423,123.58632478632478,182.5059829059829,0.9777777777777777,87.65418803418798,6.195750702964756,126.56969205834685,186.15721231766614,1.03322528363047,88.50757698541337,6.022864137411456,4.109068870544434,125.37157035609546
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,298,376,131,252,139,500,1027,236,156,199,831,90,42.0,42.0,41.0,43.0,120.0073051948052,178.73701298701297,0.9707792207792207,86.40840097402585,6.134631138972831,122.01485148514851,180.79950495049505,0.9686468646864687,85.68782178217825,6.186355292635079,125.26977848101266,184.42088607594937,0.9802215189873418,88.58370253164554,6.0531759337436855,123.51277683134583,182.45229982964224,1.0051107325383304,89.76685689948887,6.156161258484005,123.6124899919936,182.35148118494797,0.988791032826261,85.68879903923137,6.125555429574198,4.296801567077637,122.88344039686118
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,298,376,131,252,139,500,1027,236,156,199,831,90,39.0,39.0,39.0,51.0,118.0097244732577,177.11021069692057,1.027552674230146,86.23611831442471,6.252022355446607,120.75409836065573,179.36885245901638,0.9926229508196721,88.11124590163938,6.2326902566975795,120.47343378271214,179.44250594766058,0.985725614591594,86.43333068992865,6.259334463136502,118.42820512820512,177.16923076923078,1.0136752136752136,87.6912307692309,6.299517868394488,118.23782920989625,176.97047086991222,0.9704708699122107,84.34590582601754,6.3280271348532855,4.093760251998901,119.18065819094541
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,298,376,131,252,139,500,1027,236,156,199,831,90,40.0,39.0,39.0,50.0,115.50528025995126,174.965881397238,1.0308692120227458,85.80456539398855,6.299672229466301,117.83305921052632,176.33552631578948,0.9539473684210527,85.03239309210538,6.303965413218966,119.09141494435612,177.95627980922097,0.9682034976152624,85.0655007949127,6.328018772489454,118.91143594153053,177.4359415305245,1.0300945829750645,86.42300945829747,6.340821875750445,118.12620578778134,177.0,0.9823151125401929,84.21182475884243,6.330566579745036,4.2030017375946045,117.89347922882912
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,298,376,131,252,139,500,1027,236,156,199,831,90,39.0,40.0,39.0,50.0,117.14030819140308,176.70316301703164,1.02757502027575,86.42909975669095,6.23253637652488,120.66039279869067,179.56873977086744,0.9909983633387889,87.41998363338789,6.200241139161137,121.60047656870532,180.63065925337568,0.9968228752978554,87.67844320889596,6.2234971889470625,120.42649572649573,179.76752136752137,1.0444444444444445,88.52301709401716,6.261418747707297,119.428,178.3472,0.9776,84.92760800000018,6.266569665459676,4.203587532043457,119.85113465705895
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,298,376,131,252,139,500,1027,236,156,199,831,90,39.0,39.0,40.0,50.0,117.86477732793523,176.85344129554656,1.0242914979757085,86.03390283400816,6.274364896309139,120.82786885245902,179.59262295081967,0.9844262295081967,87.60983606557373,6.238062036839521,120.7112,179.7656,1.024,87.49271199999988,6.253516141985383,120.86740804106074,179.36698032506416,0.9991445680068435,89.5334559452523,6.239729819648721,118.116,176.6808,0.9736,84.427488,6.327606812791844,4.2183637619018555,119.677450844291
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,298,376,131,252,139,500,1027,236,156,199,831,90,40.0,38.0,37.0,53.0,116.99755700325733,175.62785016286645,0.9731270358306189,86.57941368078168,6.312475002821696,116.14614121510674,174.6584564860427,0.9556650246305419,84.53316912972083,6.358086500065527,118.38620142743854,177.21966693100714,1.007137192704203,86.11993655828704,6.324247513409757,117.13058419243987,175.68470790378007,0.9845360824742269,86.39265463917519,6.421139977313859,117.44550517104216,176.17104216388225,0.9968178202068417,84.83664280031823,6.336727681931353,4.250321388244629,117.22119780185695
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,298,376,131,252,139,500,1027,236,156,199,831,90,41.0,38.0,37.0,52.0,115.22859450726979,173.8021001615509,0.975767366720517,85.95095315024227,6.293773275717729,116.96622734761121,175.8500823723229,1.0354200988467874,86.35238879736403,6.340483107308087,117.38783570300158,176.15876777251185,0.9913112164296999,86.12405213270134,6.320270515287785,118.76227390180878,176.93023255813952,0.9698535745047373,87.59415159345399,6.384082265597186,116.88718775181306,176.09669621273167,0.9814665592264303,85.16037872683314,6.3603950391368,4.34337854385376,117.0464238423009
