,1,1l,1r,1s,2,2l,2r,2s,3,3l,3r,3s,4,4l,4r,4s,id,1_2,1_3,1_4,2_1,2_3,2_4,3_1,3_2,3_4,4_1,4_2,4_3,real_0,real_1,real_2,real_3,wait0,travel0,stop0,timeloss0,speed0,wait1,travel1,stop1,timeloss1,speed1,wait2,travel2,stop2,timeloss2,speed2,wait3,travel3,stop3,timeloss3,speed3,wait4,travel4,stop4,timeloss4,speed4,time,performance measure
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,84,224,538,54,41,243,120,18,48,62,168,40,15,30,15,30,23.069686411149824,75.8205574912892,0.710801393728223,30.62256097560976,8.67871569652252,21.394594594594594,73.74594594594595,0.654054054054054,28.541135135135157,8.951865753884487,23.222764227642276,75.75447154471544,0.6861788617886179,30.558552845528418,8.716817872153367,21.04022988505747,73.07471264367815,0.6475095785440613,27.977509578544048,9.02168863680436,22.01038062283737,74.5121107266436,0.7006920415224913,29.295916955017322,8.808827839950846,2.8281707763671875,22.14753114825631
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,84,224,538,54,41,243,120,18,48,62,168,40,13,30,15,30,21.344827586206897,73.78965517241379,0.6896551724137931,28.587120689655183,8.906151468374635,22.752727272727274,75.3709090909091,0.6909090909090909,30.176709090909114,8.739925883729892,22.760195758564436,75.51876019575856,0.7128874388254486,30.261810766721048,8.70004970056952,23.154580152671755,75.70610687022901,0.7175572519083969,30.62931297709924,8.655378240547197,20.68941979522184,73.06996587030717,0.6723549488054608,27.870819112627977,8.991502097130736,2.8124518394470215,22.14035011307844
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,84,224,538,54,41,243,120,18,48,62,168,40,15,28,15,30,21.83103448275862,74.45689655172414,0.7,29.262793103448253,8.824931809502504,23.284153005464482,75.97996357012751,0.7012750455373407,30.829854280510013,8.666700057492614,23.3768352365416,76.17781402936379,0.7177814029363785,30.942593800978777,8.624626575576636,23.626436781609197,76.25287356321839,0.7222222222222222,31.177931034482768,8.588530886986668,21.123076923076923,73.62735042735042,0.6803418803418804,28.41353846153845,8.921473493654242,2.6874613761901855,22.648307285890162
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,84,224,538,54,41,243,120,18,48,62,168,40,15,30,17,30,23.05096660808436,75.63620386643234,0.6942003514938488,30.44476274165204,8.697367373753186,22.404059040590408,75.02767527675277,0.6863468634686347,29.85204797047967,8.8005154087867,21.797996661101838,74.21368948247078,0.6377295492487479,29.010517529215345,8.895178034900628,22.52671755725191,75.08396946564885,0.7099236641221374,29.956278625954234,8.766855432777268,23.77972027972028,76.39335664335664,0.6940559440559441,31.203426573426555,8.667625197290537,2.5155858993530273,22.71189202934976
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,84,224,538,54,41,243,120,18,48,62,168,40,15,30,15,29,23.16089965397924,75.94117647058823,0.7162629757785467,30.75231833910034,8.668365762834291,23.360507246376812,76.02898550724638,0.6920289855072463,30.84072463768113,8.702413732299178,23.266666666666666,75.84715447154471,0.6910569105691057,30.63606504065041,8.698411378195786,21.71564885496183,74.01526717557252,0.6679389312977099,28.922423664122142,8.882347280546748,20.610921501706486,73.11774744027304,0.6928327645051194,27.898293515358386,8.937501414794822,2.5624938011169434,22.422928784738207
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,84,224,538,54,41,243,120,18,48,62,168,40,11,30,15,30,20.47304347826087,72.72,0.6678260869565218,27.519200000000016,9.030047664221346,21.034926470588236,73.60110294117646,0.7113970588235294,28.422720588235293,8.843832550455303,22.231666666666666,74.96666666666667,0.7133333333333334,29.78616666666665,8.762228617407425,20.06704980842912,72.54980842911877,0.7088122605363985,27.426436781609183,8.962559121282565,21.227036395147312,73.49046793760832,0.6724436741767764,28.317590987868286,8.93487135308641,2.500352382659912,21.00674456381844
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,84,224,538,54,41,243,120,18,48,62,168,40,13,28,15,30,21.017391304347825,73.33739130434783,0.6765217391304348,28.126191304347852,8.956324290489817,21.735294117647058,74.51102941176471,0.7224264705882353,29.36808823529413,8.7328909821358,22.41,75.30666666666667,0.7233333333333334,30.114200000000018,8.680731668241844,20.296934865900383,72.8103448275862,0.6992337164750958,27.69078544061301,8.919508565555763,21.504332755632582,73.83882149046794,0.6741767764298093,28.646447140381294,8.878568021161215,2.3902788162231445,21.39279060870557
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,84,224,538,54,41,243,120,18,48,62,168,40,13,30,14,30,21.46113989637306,74.00863557858376,0.6753022452504318,28.78025906735751,8.862460537782884,23.335154826958107,76.08743169398907,0.7358834244080146,30.92548269581055,8.62465427315641,22.69933554817276,75.56976744186046,0.7126245847176079,30.37812292358803,8.653794906874358,22.811068702290076,75.44656488549619,0.7232824427480916,30.330209923664142,8.66065734868855,21.256013745704468,73.59621993127148,0.6563573883161512,28.38493127147767,8.947777674390318,2.390641212463379,22.312542543899692
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,84,224,538,54,41,243,120,18,48,62,168,40,13,30,15,28,21.027826086956523,73.32521739130435,0.6747826086956522,28.130973913043483,8.962310846916122,21.74264705882353,74.4375,0.71875,29.280238970588254,8.753598160007172,22.058430717863104,74.80968280467445,0.7128547579298832,29.61893155258765,8.746555440801883,19.97328244274809,72.3854961832061,0.6927480916030534,27.25564885496183,8.974961912530457,21.508680555555557,73.74131944444444,0.671875,28.54237847222223,8.89908176789083,2.484717845916748,21.26217337238936
0,4,1,1,2,4,1,1,2,3,1,1,1,4,1,1,2,real,84,224,538,54,41,243,120,18,48,62,168,40,10,30,15,30,20.52054794520548,72.76027397260275,0.660958904109589,27.552380136986322,9.029726095747257,19.082289803220036,71.5134168157424,0.6744186046511628,26.324955277280846,9.077023955843359,21.94281045751634,74.6421568627451,0.7107843137254902,29.443316993464038,8.787762066437526,19.920604914933836,72.47826086956522,0.6862003780718336,27.37826086956521,9.003397417840457,21.51118760757315,73.9827882960413,0.693631669535284,28.769759036144592,8.848738706298,2.4373092651367188,20.595488145689767
