ID,I1_p1,I1_p2,I1_p3,I1_p4,I1_offset,I2_p1,I2_p2,I2_p3,I2_p4,I2_offset,I3_p1,I3_p2,I3_p3,I3_p4,I3_offset
ICA+TS,11,43,10,104,0,9,46,20,93,16,10,46,17,95,63
random1,21,67,9,71,0,5,96,14,53,9,9,70,31,58,59
random2,8,91,6,63,0,22,47,56,43,7,12,100,18,38,47
random3,22,74,20,52,0,11,56,13,88,63,18,56,44,50,70
random4,47,51,13,57,0,5,52,67,44,14,32,76,7,53,68
random5,5,103,8,52,0,5,49,61,53,28,29,48,56,35,55
random6,11,61,46,50,0,7,64,28,69,46,16,48,19,85,107
random7,21,62,46,39,0,13,60,58,37,25,26,62,6,74,107
random8,70,48,11,39,0,45,49,34,40,28,14,54,26,74,107
random9,23,53,17,75,0,21,76,7,64,16,66,49,7,46,43
random10,38,67,30,33,0,16,65,25,62,56,8,46,52,62,101
DNN_G5,10,43,15,100,0,10,46,20,92,19,10,46,10,102,74
